id,country,origin_country,shipment_mode_clean,textile_type,weight_raw,weight_unit,weight_kg,distance_km,emission_factor,carbon_footprint_kg_co2e,carbon_intensity_per_km,freight_cost_usd,line_item_value
1,Côte d'Ivoire,Unkown,Air,Recycled Polyester,13,kg,13.0,7000.0,0.602,54.782,0.007826,780.34,551.0
3,Vietnam,India,Air,Organic Cotton,358,kg,358.0,4100.0,0.602,883.6156,0.21551599999999999,4521.5,6200.0
4,Côte d'Ivoire,United States,Air,Recycled Polyester,171,lbs,171.0,7000.0,0.602,720.5939999999999,0.10294199999999999,1653.78,40000.0
15,Vietnam,India,Air,Organic Cotton,1855,kg,1855.0,4100.0,0.602,4578.5109999999995,1.1167099999999999,16007.06,127360.8
16,Vietnam,India,Air,Organic Cotton,7590,kg,7590.0,4100.0,0.602,18733.638,4.569179999999999,45450.08,121600.0
23,Nigeria,India,Air,Organic Cotton,504,kg,504.0,8100.0,0.602,2457.6048,0.303408,5920.42,2225.6
44,Zambia,Unkown,Air,Organic Cotton,328,kg,328.0,7000.0,0.602,1382.192,0.197456,Freight Included in Commodity Cost,4374.0
45,Tanzania,India,Air,Organic Cotton,1478,kg,1478.0,5900.0,0.602,5249.5604,0.8897560000000001,6212.41,60834.55
46,Nigeria,India,Air,Organic Cotton,See ASN-93 (ID#:1281),kg,1047.0,8100.0,0.602,5105.381399999999,0.6302939999999999,See ASN-93 (ID#:1281),532.35
47,Zambia,United States,Air,Organic Cotton,643,lbs,643.0,7000.0,0.602,2709.602,0.387086,Freight Included in Commodity Cost,115080.0
60,Zambia,Germany,Air,Organic Cotton,643,lbs,643.0,7800.0,0.602,3019.2708000000002,0.38708600000000004,Freight Included in Commodity Cost,115080.0
61,Zambia,Unkown,Air,Recycled Polyester,853,kg,853.0,7000.0,0.602,3594.542,0.513506,13569.49,100000.0
62,Nigeria,Unkown,Air,Recycled Polyester,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,850.0
64,Rwanda,India,Air,Organic Cotton,7416,kg,7416.0,7000.0,0.602,31251.023999999998,4.4644319999999995,64179.42,99800.0
65,Haiti,United States,Air,Recycled Polyester,256,lbs,256.0,1477.37412,0.602,227.68108038143998,0.154112,1760.32,60000.0
68,Zimbabwe,Unkown,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Freight Included in Commodity Cost,14764.5
69,Nigeria,United States,Unknown,Recycled Polyester,Weight Captured Separately,lbs,1047.0,8658.2492,0.15,1359.77803686,0.15705,Freight Included in Commodity Cost,120000.0
80,Rwanda,India,Air,Recycled Polyester,710,kg,710.0,7000.0,0.602,2991.94,0.42742,3120.7,33000.0
81483,Vietnam,India,Air,Organic Cotton,34,kg,34.0,4100.0,0.602,83.9188,0.020468,807.47,3465.0
87,Tanzania,Unkown,Air,Organic Cotton,162,kg,162.0,7000.0,0.602,682.668,0.097524,912.96,8964.08
92,Nigeria,United States,Air,Recycled Polyester,341,lbs,341.0,8658.2492,0.602,1777.3827122744,0.205282,2682.47,80000.0
96,Nigeria,Unkown,Air,Recycled Polyester,2278,kg,2278.0,7000.0,0.602,9599.492,1.371356,15893.71,202500.0
108,Côte d'Ivoire,Unkown,Air,Organic Cotton,2126,kg,2126.0,7000.0,0.602,8958.964,1.279852,Freight Included in Commodity Cost,140581.5
115,Vietnam,India,Air,Organic Cotton,941,kg,941.0,4100.0,0.602,2322.5762,0.566482,4193.49,1920.0
116,Vietnam,Germany,Air,Organic Cotton,117,lbs,117.00000000000001,9000.0,0.602,633.9060000000001,0.07043400000000001,1767.38,41095.0
130,Haiti,Japan,Air,Recycled Polyester,171,kg,171.0,7000.0,0.602,720.5939999999999,0.10294199999999999,3518.38,53992.5
134,Haiti,Unkown,Air,Recycled Polyester,60,kg,60.0,7000.0,0.602,252.84,0.03612,3097.85,8750.0
138,Tanzania,Unkown,Air,Recycled Polyester,3335,kg,3335.0,7000.0,0.602,14053.689999999999,2.0076699999999996,27869.74,200000.0
139,Tanzania,Unkown,Air,Recycled Polyester,3335,kg,3335.0,7000.0,0.602,14053.689999999999,2.0076699999999996,28461.1,200000.0
140,Tanzania,Unkown,Air,Recycled Polyester,3335,kg,3335.0,7000.0,0.602,14053.689999999999,2.0076699999999996,28359.8,200000.0
161,Ethiopia,India,Air,Organic Cotton,4228,kg,4228.0,7000.0,0.602,17816.791999999998,2.5452559999999997,12237.61,99200.0
